Name,State,HIOS,MMI,ERAI,ARAI,Premium,Loss1,Loss2,Loss3,Loss4,ERAIPMM,ARAIPMM,Diff,TotalLoss
Celtic Insurance Company,Wyoming,49290,29,-16001.9,"($16,001.90)",36265.1,134.4865763,0,0,0,-551.7896552,-551.7896552,1,1245.883222
Celtic Insurance Company,South Carolina,60067,37,-15590.2,"($15,590.17)",30387.8,-343.8900013,0,0,0,-421.3567568,-421.3559459,0.999998076,830.5862163
Celtic Insurance Company,Michigan,35443,3,-633,($633.00),57595,-39.03903322,0,0,0,-211,-211,1,19211.34634
Celtic Insurance Company,Indiana,76179,39,-7885.97,"($7,885.97)",83933.03,16460.11399,0,0,0,-202.204359,-202.204359,1,1730.074769
Celtic Insurance Company,Wisconsin,44197,24,-4592.6,"($4,592.60)",43871.4,5496.429375,228,44,0,-191.3583333,-191.3583333,1,1587.623776
"Meridian Health Plan of Michigan, Inc.",Michigan,58594,127,-23501,"($23,501.09)",12711,2868.02,148,0,0,-185.0472441,-185.0479528,1.00000383,76.3384252
Physicians Health Plan,Michigan,60829,443,-76724,"($76,724.32)",143410,117623,40753,4740,,-173.1918736,-173.1925959,1.000004171,-44.48306998
Memorial Hermann Health Insurance Company,Texas,30609,74,,"($11,442.15)",28543,54726,1992,11,,0,-154.6236486,#DIV/0!,-380.8918919
Trillium Community Health Plan,Oregon,95417,17,0,"($2,613.45)",12226,3613.64,654,0,0,0,-153.7323529,#DIV/0!,468.1388235
Celtic Insurance Company,Missouri,99723,28,-4177.67,"($4,177.67)",31899.33,-217.6013163,0,0,0,-149.2025,-149.2025,1,1147.033261
Celtic Insurance Company,Ohio,62352,43,-6348.32,"($6,348.32)",94243.68,12412.93075,452,88,0,-147.6353488,-147.6353488,1,1890.482541
Celtic Insurance Company,Tennessee,70111,22,-3104.66,"($3,104.66)",14956.34,660.5709356,198,38,0,-141.1209091,-141.1209091,1,639.080412
MetroPlus Health Plan,New York,11177,399516,-54020697.93,"($54,033,594.10)",101544163.5,77121222.22,23159541.42,268072.3626,0,-135.2153554,-135.2476349,1.000238726,2.491333257
Local Initiative Health Authority for Los Angeles County,California,92815,240012,-31742828,"($31,742,828.09)",66111108,47084780,2817750,53558,,-132.2551706,-132.2551709,1.000000003,67.30921787
MOLINA HEALTHCARE OF CALIFORNIA,California,18126,71865,-9072047,"($9,072,047.23)",12868821,8163374,548200,31524,0,-126.2373478,-126.237351,1.000000025,57.40935087
