,HIOS_ID,COMPANY_NAME,STATE,IND_MEMBER_MONTHS,SG_MEMBER_MONTHS,REINSURANCE,IND_RISK_ADJ,SG_RISK_ADJ
0,,"UnitedHealthcare of Oregon, Inc.",Grand Total,0,0,0,0,0
1,37057,"UnitedHealthcare of Oregon, Inc.",Oregon,0,0,0,0,0
2,,TRH Health Insurance Company,Grand Total,719762,,,,
3,16348,TRH Health Insurance Company,Tennessee,719762,,,,
4,80046,Blue Shield of California Life & Health Insurance Company,California,594719,1833113,,,
5,,Blue Shield of California Life & Health Insurance Company,Grand Total,594719,1833113,,,
6,,"HMO Louisiana, Inc.",Grand Total,599791,532442,18986651.02,-30654005.69,-1581186.14
7,19636,"HMO Louisiana, Inc.",Louisiana,599791,532442,18986651.02,-30654005.69,-1581186.14
8,,"Group Health Options, Inc",Grand Total,105901,52334,5542562.19,84523.22,734961.44
9,42171,"Group Health Options, Inc",Idaho,,,,,
10,25768,"Group Health Options, Inc",Washington,105901,52334,5542562.19,84523.22,734961.44
11,,Freelancers Health Service Corporation,Grand Total,1358859,681644,51736710,-37496765,-153842015.39
12,71644,Freelancers Health Service Corporation,New York,1358859,681644,51736710,-37496765,-153842015.39
13,,Physicians Plus Insurance Corporation,Grand Total,31587,188864,166070,175984,-629678
14,58564,Physicians Plus Insurance Corporation,Wisconsin,31587,188864,166070,175984,-629678
15,,Optima Health Insurance Company,Grand Total,0,47557,0,-4260.56,1471462.99
16,89242,Optima Health Insurance Company,Virginia,0,47557,0,-4260.56,1471462.99
17,,"Preferred Medical Plan, Inc.",Grand Total,741265,2447,11384480,-62496825,0
18,51398,"Preferred Medical Plan, Inc.",Florida,741265,2447,11384480,-62496825,0
19,51398,"Preferred Medical Plan, Inc.",Florida,741265,2447,11384480,-62496825,0
20,51398,"Preferred Medical Plan, Inc.",Florida,741265,2447,11384480,-62496825,0
21,,"Preferred Medical Plan, Inc.",Grand Total,741265,2447,11384480,-62496825,0
22,,"Preferred Medical Plan, Inc.",Grand Total,741265,2447,11384480,-62496825,0
23,,United States Branch of the Sun Life Assurance Company of Canada,Grand Total,,,,,
24,58643,United States Branch of the Sun Life Assurance Company of Canada,Illinois,,,,,
25,84552,United States Branch of the Sun Life Assurance Company of Canada,Louisiana,,,,,
26,68448,United States Branch of the Sun Life Assurance Company of Canada,North Carolina,,,,,
27,78790,United States Branch of the Sun Life Assurance Company of Canada,Wisconsin,,,,,
28,,Sun Life and Health Insurance Company (U.S.),Grand Total,,,,,
29,37105,Sun Life and Health Insurance Company (U.S.),New York,,,,,
30,,"Anthem Health Plans of Maine, Inc.",Grand Total,260198,210436,6669157.74,-3917017.08,688516.26
31,48396,"Anthem Health Plans of Maine, Inc.",Maine,260198,210436,6669157.74,-3917017.08,688516.26
32,,"Anthem Health Plans of Virginia, Inc.",Grand Total,985484,1416206,0,0,27889957.52
33,16064,"Anthem Health Plans of Virginia, Inc.",Virginia,985484,1416206,0,0,27889957.52
34,48962,"Anthem Blue Cross Life and Health Insurance Company, Inc.",California,1744900,1096405,0,0,0
35,,"Anthem Blue Cross Life and Health Insurance Company, Inc.",Grand Total,1744900,1096405,0,0,0
36,,"Anthem Health Plans of Kentucky, Inc.",Grand Total,1020298,809561,15227446.08,3129303.34,4368115.21
37,36239,"Anthem Health Plans of Kentucky, Inc.",Kentucky,1020298,809561,15227446.08,3129303.34,4368115.21
38,,WPS Health Plan Inc,Grand Total,215901,43139,12623709,1825501,-1158565
39,84670,WPS Health Plan Inc,Wisconsin,215901,43139,12623709,1825501,-1158565
